,A/C,ABS,Adjustable Driver Seat,Alternator (Amps),Arm-rest,Axle Configuration,Axle Types,Battery(Volts),Body Brakes,Body Material,Body Option,Brakes,Bulker Air Inlet Pipe,Bulker Discharge Pipe,Bulker Electricals,Bulker Equipments,Bulker Pressure,Bulker Type,Cabin Type,Canopy Length,Chassis,Chassis Type,Clutch,Company,Cruise Control,Displacement (cc),Driver Information Display,Electricals,Emission Norms,Engine,Engine Cylinders,Engine Displacement,External/Interior Surface,Floor Material,Floor Type,Fog Lights,Front Axle,Front Suspension,Front Tyre,Fuel Tank (Litres),Fuel Type,GVW / GCW (Kgs),Gearbox,Gradeability (%),Ground Clearance (mm),Height {mm (ft.)},Hill Hold,Kerb Weight (Kgs),Landing Gear,Length {mm (ft.)},Loading Platform Area(Sq.ft),Max Power,Max Speed (km/h),Max Torque,Mileage,Model,Navigation System,No. Of Axles,No. Of Valves,Number of Tyre,Overall Height (mm),Overall Length (mm),Overall Width (mm),Parking Brakes,Payload (Kgs),Power Steering,Pump Type,Rear Axle,Rear Board Material,Rear Suspension,Rear Tyre,Refrigerating Unit,Seat Belts,Seat Type,Seating Capacity,Side Board Material,Size (Cu. M),Steering,Telematics,Temperature Range,Tiltable Cabin,Tiltable Steering,Transmission,Tubeless Tyres,Turning Radius (mm),Water Tank Capacity (KL),Water Tank Type,Wheelbase (mm),Width {mm (ft.)}
34,No ,Yes ,Yes ,,No ,4x2 ,,24,,,Customizable ,Pneumatic foot operated dual line brakes ,,,,,,,Day and Sleeper Cabin ,,Yes ,Chassis with Cabin ,Single dry plate hydraulic control ,BHARAT-BENZ,No ,3900 cc,Yes ,,BS-VI ,4D34i ,4,,,,,,IF 6.0 ,Multileaf spring ,10.00 R 20 ,214 Ltr,Diesel ,16200,6-Speed ,23.9,270,,,,,6096,,167 bhp ,80,520 Nm  ,,1617R,No ,,,6,2600,8600,2335,Yes ,,Yes ,,MS 145 ,,Multileaf spring ,10.00 R 20 ,,Yes ,Standard ,D+1 ,,20(ft) ,Power Steering ,,,,No ,Manual ,No ,8650,,,5100 mm,
35,No ,No ,Yes ,,No ,4x2 ,No ,,No ,No ,Box body ,Hydraulic Brakes ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,Yes ,. ,Single plate dry friction type-280 mm dia ,TATA,No ,2956 cc,Yes ,12V ,BS-IV ,4SP CR Turbo Intercooled ,4,,No ,No ,No ,No ,- ,Semi elliptical leaf spring and Hydraulic double acting telescopic type Shock Absorber ,8.25 X 16 PR ,60 Ltr,,6250,5-Speed ,27,221,,No ,2420,No ,,,82.6 bhp  ,80,250 Nm  ,,LPT-407,No ,No ,No ,,2360,5955,2140,Yes ,3830 Kgs,Yes ,No ,- ,No ,Semi elliptical leaf spring with auxiliary springs and Hydraulic double acting telescopic type shock Absorber ,8.25 X 16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,No ,No ,Manual ,No ,6150,No ,No ,3400 mm,
36,No ,No ,Yes ,,No ,4x2 ,No ,12 V ,"Dual circuit, full air S cam with VOSS fitment ",No ,Deck Body ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,No ,Chassis with Cabin ,330 mm dia. ,EICHER,No ,3298 cc,Yes ,No ,BS-IV ,E494 4 Cylinder 4V CRS ,4,,No ,No ,No ,Yes ,"Forged ""I"" section reverse Elliot type Axle ",Semi-elliptical laminated leafs (with shock absorber) ,,190 Ltr,,12976,6-Speed ,30,220,854 (2.8) ,No ,4376,No ,6706(22) ,,118.3 bhp  ,90,400Nm  ,,PRO-1110-XP,No ,No ,No ,,2555,8749,2260,Yes ,8600 Kgs,Yes ,No ,Fully floating Banjo type Axle ,No ,Semi-elliptical laminated leafs (with shock absorber) ,8.25X16-16PR ,No ,Yes ,Standard ,,No ,No ,Tilt and telescopic power steering ,No ,No ,Yes ,Yes ,Manual ,No ,8600,No ,No ,5050 mm,2125(7) 
37,No ,No ,Yes ,70,No ,4x2 ,,12,,,Deck Body ,Disc Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,,ISUZU,No ,2499 cc,Yes ,,BS-IV ,"Common Rail, Turbo Intercooled ",4,,,,,No ,,"Double Wishbone,Coil Spring ",215/70 R15 C ,55 Ltr,,2850,5-Speed ,,190,510,No ,1650,,2440,,78 bhp  ,,176 Nm  ,13.2,D-MAX,No ,,,4,1710,5375,1820,Yes ,1200 Kgs,Yes ,,,,Semi-elliptic leaf spring ,215/70 R15 C ,,Yes ,Standard ,D+1 ,,,Power Steering ,No ,,No ,Yes ,Manual ,No ,6100,,,3095 mm,1725
38,No ,No ,Yes ,,Yes ,4x2 ,No ,,,No ,Full Body ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Bolted Cross members ,Chassis with Cabin ,"Single Plate dry , 380 mm ",TATA,No ,5883 cc,Yes ,No ,BS-IV ,CUMMINS ISBe5.9 180 40 ,6,,No ,No ,No ,No ,"reverse Elliot type ""I"" beam ",Semi elliptical leaf springs Suspension ,10.00 X 20 - 16 PR RIB ,225 Ltr,,16200,6-Speed ,42,248,NA ,No ,,No ,NA ,,177.1 bhp  ,,700Nm  ,,LPK-1618,No ,No ,No ,,3285,6295,2468,Yes ,,Yes ,No ,TATA RA- 109RX ,No ,Semi elliptical Leaf springs suspension ,10.00 X 20 - 16 PR LUG ,No ,Yes ,Adjustable ,,No ,No ,Power Steering ,No ,No ,Yes ,Yes ,Manual ,Yes ,6541,No ,No ,3580 mm,NA 
39,No ,Yes ,Yes ,,No ,. ,NA ,,NA ,NA ,Customizable ,Air Brakes ,NA ,NA ,NA ,NA ,. ,NA ,Day and Sleeper Cabin ,NA ,Yes ,Chassis with Cabin ,330 mm dia. ,EICHER,Yes ,0 cc,Yes ,12 V ,BS-IV ,E494 4V CRS with Volvo Group EMS 3.0 ,4,,NA ,NA ,NA ,No ,. ,Parabolic with double acting telescopic shock absorber  with anti roll bar ,9.00R20 - 16 PR ,190 Ltr,,16020,7-Speed ,24,258,NA ,NA ,. ,NA ,6106(20) ,,135 bhp  ,. ,450 Nm  ,. ,PRO-3015,No ,NA ,NA ,,. ,,,Yes ,. Kgs,Yes ,NA ,. ,NA ,Semi-elliptical laminated leaves with helper leaf spring ,9.00R20 - 16 PR ,NA ,Yes ,Standard ,,NA ,NA ,Power Steering ,No ,NA ,. ,Yes ,Manual ,No ,,NA ,NA ,4490 mm,2343(7.6) 
40,No ,No ,No ,,No ,8x2 ,No ,,"Dual circuit, Full Air S-Cam Brake system ",No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,No Cabin ,No ,NA ,Chassis with Cowl ,Single Plate dry friction type ,TATA,No ,5883 cc,No ,No ,BS-IV ,Cummins ISBe5.9 180 40 BS-IV Common Rail ,6,,No ,No ,No ,No ,"Heavy duty forged ""I"" beam Reverse Elliot type, ",Parabolic Spring ,10R20 - 16 PR ,365 Ltr,,31000,6-Speed ,19.9,250,No ,No ,7750,Yes ,No ,,175bhp  ,80,700Nm  ,,LPT-3118,No ,No ,No ,,1839,11828,2440,Yes ,23250 Kgs,Yes ,No ,"Tata RA 109 RR Single Speed, Hypoid gear in pressed steel welded beam with differential carrier housing. ",No ,Semi elliptical Leaf spring ,10R20 - 16 PR ,No ,No ,Standard ,,No ,No ,Hydraulic Power-assisted ,No ,No ,No ,No ,Manual ,No ,10825,No ,No ,6750 mm,No 
41,Optional ,No ,Yes ,,No ,. ,,,,,Cabin load body ,"Front - Disc,  Rear - Drum ",,,,,,,Day Cabin ,,,Hydroform ,Single Plate Dry Friction Diaphragm Type ,TATA,No ,798 cc,Yes ,,BS-IV ,DI engine ,2,,,,,No ,- ,Semi - elliptical leaf spring (6 leafs) ,165 R14 LT ,35 Ltr,,2110,5-Speed ,43,,,No ,1110,,2512 (8.24 ft) ,,40 bhp  ,80,96 Nm  ,,INTRA-V10,No ,,,4,,4282,1639,Yes ,1000 Kgs,Yes ,,- ,,Semi - elliptical leaf spring (7 leafs) ,165 R14 LT ,,Yes ,Adjustable seats with headrest (for the driver) ,D+1 ,,,Power Steering (standard fitment) ,No ,,No ,No ,Manual ,Yes ,4750,,,2250 mm,1603
42,No ,Yes ,Yes ,,Yes ,No ,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,. ,No ,NA ,No ,No ,Chassis with Cowl ,"380 mm dia, single plate dry type with clutch booster ",ASHOK-LEYLAND,No ,0 cc,Yes ,2 X 12V ,BS-IV ,H series CRS engine with iEGR technology ,. ,,No ,No ,No ,Yes ,"Non-driven, 'I' section, Reverse Elliot type ",Semi-elliptic multileaf ,10 x 20-16PR ,212 Ltr,,16000,6-Speed ,. ,. ,No ,Yes ,. ,No ,No ,,180 Bhp  ,. ,660 Nm  ,. ,1618,No ,. ,No ,,. ,. ,. ,Yes ,. Kgs,Yes ,No ,"Fully floating, single speed, hypoid with 5.83:1 RAR ",No ,Semi-elliptic multileaf ,10 X 20-16PR ,No ,Yes ,Standard ,,No ,. ,Power Steering ,No ,No ,Yes ,No ,Manual ,Yes ,. ,No ,No ,0 mm,No 
43,No ,No ,No ,,No ,4x2 ,,12 V ,,,Customizable ,Hydraulic Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Single Plate dry Friction Type (280 mm) ,TATA,No ,2956 cc,Yes ,,BS-IV ,4SP CR Turbo Inter-cooled ,4,,,,,No ,- ,Semi-elliptical Leaf Spring & Hyd Double Acting Telescopic ,7.50 x 16-12 PR ,60 Ltr,,4450,5-Speed ,28,207,NA ,No ,2000,,NA ,,83.8bhp  ,80,250Nm  ,,SFC-407-PICKUP-EX,No ,,,,2270,4700,1980,Cabel operated Mechanical ,2450 Kgs,Yes ,,- ,,Semi-elliptical Leaf Spring & Hyd Double ActingTelescopic ,7.50 x 16-12 PR ,,Yes ,Standard ,D+1 ,,,Manual Steering ,No ,,No ,No ,Manual ,No ,5950,,,2955 mm,NA 
44,Yes ,No ,Yes ,,Yes ,No ,,,,,Deck Body ,Disc Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,,ISUZU,No ,2499 cc,Yes ,,BS-IV ,"Common Rail, Turbo Intercooled Diesel ",4,,,,,No ,- ,"Double Wishbone, Coil Spring ",215/70 R15 C ,55 Ltr,,2850,5-Speed ,,190,465,No ,1700,,1485,,78 bhp  ,,176 Nm  ,,D-MAX-S-CAB,No ,,,4,1690,5190,1775,Yes ,1150 Kgs,Yes ,,- ,,Semi-elliptic leaf spring ,215/70 R15 C ,,Yes ,Standard ,D+4 ,,,Power Steering ,No ,,No ,Yes ,Manual ,Yes ,6100,,,3095 mm,1530
45,No ,Yes ,Yes ,,No ,. ,NA ,,NA ,NA ,Customizable ,Hydraulic Brakes ,NA ,NA ,NA ,NA ,,NA ,Day Cabin ,NA ,NA ,Chassis with Cabin ,275 mm dia ,EICHER,No ,0 cc,Yes ,12 V ,BS-IV ,E483 4Cyl 2V CRS Engine ,4,,NA ,NA ,NA ,No ,,Semi-elliptical laminated leaves (with shock absorber) ,8.25 x 16 - 16PR ,60 Ltr,,6450,5-Speed ,28,230,NA ,NA ,,NA ,4319(14.1) ,,95 bhp  ,,300 Nm  ,,PRO-1059,No ,NA ,NA ,,,,,Yes ,,Yes ,NA ,,NA ,Semi-elliptical laminated leaves (with shock absorber) ,8.25 X 16 - 16PR ,NA ,Yes ,Standard ,,NA ,NA ,Tilt and telescopic steering power steering ,,NA ,. ,Yes ,Manual ,Yes ,,NA ,NA ,3350 mm,2007(6.6) 
46,No ,No ,Yes ,,No ,4x2 ,No ,,Vacuum-assisted Dual Circuit Hydraulic with Tandem Master Cylinder ,No ,Full Body ,Dual Circuit Hydraulic with Tandem Master Cylinder ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,,Chasis with Cabin ,"Dry, Single Plat-280 mm dia ",TATA,No ,2956 cc,No ,12 V ,BS-IV ,4SPCR Turbo Inter-cooled ,4,,No ,No ,No ,No ,,Semi-elliptical Leaf Spring & Hydraulic Double Acting Telescopic ,7.50 x 16-16PR ,60 Ltr,,6250,5-Speed ,32.41,210,NA ,No ,2275,No ,NA ,,83.8bhp  ,93,250Nm  ,,SK-407-EX,No ,No ,No ,,2257,4960,2055,Cabel operated Mechanical ,3975 Kgs,Yes ,No ,,No ,Semi-elliptical Leaf Spring with Auxiliary Springs & Hydraulic Double Acting Telescopic ,7.50 x 16-16PR ,No ,Yes ,Standard ,,No ,,Power Steering ,No ,No ,No ,No ,Manual ,No ,11000,No ,No ,3100 mm,NA 
47,No ,No ,Yes ,,No ,. ,,,,,Half Deck Body ,Hydraulic Drum ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Single plate dry friction diaphragm ,TATA,No ,611 cc,Yes ,,BS-IV ,"Single cylinder Naturally aspirated, water cooled engine ",1,,,,,No ,- ,MacPherson strut ,145/80 R 12 LT 6 PR ,10 Ltr,,1305,4-Speed ,22,140,400(1) ,No ,705,,1685(5.5) ,,12 bhp  ,50,35 Nm  ,,ACE-ZIP,No ,,,,1800,3020,1480,Yes ,600 Kgs,No ,,Hypoid gear axle ,,Coil spring with semi trailing arm ,145/80 R 12 LT 6 PR ,,Yes ,Standard ,D+1 ,,,Mechanical rack & pinion ,YES ,,No ,No ,Manual ,No ,3500,,,1650 mm,1480(4.9) 
48,Yes ,Yes ,Yes ,,Yes ,,NA ,,Transmission mounted cable operated ,NA ,Fully Built ,Hydraullic Brakes ,NA ,NA ,NA ,NA ,,NA ,Day Cabin ,NA ,NA ,Chassis with Cabin ,"280 mm Dia, Single Dry Plate, Diaphragm Push Type ",ASHOK-LEYLAND,No ,2953 cc,Yes ,75 V ,BS-IV ,"ZD30 Diesel Engine with DDTi (Double Overhead Camshaft , Common Rail, Direct Injecti on, Turbo Intercooled) ",,,NA ,NA ,NA ,Yes ,,Parabolic with Double Acti ng Shock Absorbers ,7.50 x 16-16 PR ,90 Ltr,,7200,5-Speed ,23,230,1840(6.03) ,No ,2610,NA ,3415(11.20) ,,105 bhp  ,,284 Nm  ,,PARTNER-6-TYRE,Yes ,NA ,NA ,,2733,5172,,Yes ,4590 Kgs,Yes ,NA ,,NA ,Semi-ellipti c with Double Acti ng Shock Absorbers ,7.50 x 16-16 PR ,NA ,Yes ,Standard ,,NA ,No ,Power Steering ,YES ,NA ,Yes ,Yes ,Manual ,Yes ,5700,NA ,NA ,2850 mm,2060(6.74) 
49,No ,No ,No ,,No ,,,,,,Box body ,Disc Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Synchromesh ,FORCE,No ,1947 cc,Yes ,,BS-IV ,FM 2.0 CR Common Rail ,3,,,,,No ,Dead rigid ,Parabolic Leaf Springs With Hydraulic Telescopic Shock Absorbers and Stabilizer Bar ,215 / 75 R15 ,45 Ltr,,3475,5-Speed ,,200,1750,No ,,,2754,,67 bhp  ,,175 Nm  ,,SHAKTIMAN-200,No ,,,4,2750,4725,1807,Yes ,1700 Kgs,Yes ,,Live Rigid ,,"Semi Elliptical, Two Stage Leaf Spring with Hydraulic telescopic shock absorbers ",215 / 75 R15 ,,Yes ,Standard ,D+1 ,,,Power Steering ,No ,,No ,No ,Manual ,No ,5500,,,2770 mm,1640
50,No ,No ,Yes ,,No ,,,,,,Deck Body ,Drum Brakes ,,,,,,,Single Cabin ,,,Chassis with Cabin ,Single Plate Dry Clutch ,MAHINDRA,No ,2489 cc,No ,,BS-IV ,DI engine with common rail technology ,4,,,,,No ,,Independent Front Suspension ,225/75 R 16 ,55 Ltr,,2990,5-Speed ,,211,862(2.82) ,No ,1750,,2570(8.43) ,,74  bhp   ,,220 Nm  ,13.55,IMPERIO,No ,,,4,1943,5280,1890,,1240 Kgs,Yes ,,,,Leaf Spring ,225/75 R 16 ,,Yes ,Standard ,D+1 ,,,Power Steering ,,,No ,Yes ,Manual ,Yes ,6300,,,3220 mm,1745(5.72) 
51,No ,No ,Yes ,,No ,4x2 ,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,Single Plate dry type (280 mm) ,TATA,No ,2956 cc,Yes ,"12 V,100Ah ",BS-IV ,4 SPCR Turbo Intercooled ,4,,No ,No ,No ,Yes ,,Semi-elliptical Leaf Springs & Hydraulic Double Acting Telescopic Type ,7.50 x 16-16 PR ,120 Ltr,,7490,5-Speed ,27,194,NA ,No ,2715,No ,NA ,,83.8 bhp  ,80,250 Nm  ,,SFC-709-EX,No ,No ,No ,,2290,5975,2051,Yes ,4775 Kgs,Yes ,No ,,No ,Semi-elliptical Leaf Springs with auxiliary springs & Hydraulic Double Acting Telescopic ,7.50 x 16-16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,Yes ,No ,Manual ,No ,6750,No ,No ,3800 mm,NA 
52,No ,No ,Yes ,,No ,. ,,,,,Half Deck Body ,Hydraulic Drum ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Single plate dry friction diaphragm ,TATA,No ,611 cc,Yes ,,BS-IV ,"Single cylinder Naturally aspirated, water cooled engine ",1,,,,,No ,. ,MacPherson strut ,145/80 R 12 LT 6 PR ,10 Ltr,,1310,4-Speed ,22,150,300(1) ,No ,710,,1927(6.3) ,,12.47 bhp  ,53,38 Nm  ,,ACE-ZIP-XL,No ,,,,1810,3369,1480,Yes ,600 Kgs,No ,,Hypoid gear axle ,,Coil spring with semi trailing arm ,145/80 R 12 LT 6 PR ,,Yes ,Standard ,D+1 ,,,Mechanical rack & pinion ,YES ,,No ,No ,Manual ,No ,3500,,,1650 mm,1480(4.9) 
53,Optional ,Yes ,No ,,No ,,Single Reduction Tandem ,,Electro-pneumatically Operated Coupled with Service Brake ,NA ,Box body ,Air Brakes ,NA ,NA ,NA ,NA ,,NA ,Sleeper Cabin ,NA ,Ladder type Heavy Duty Frame ,Chassis with Cabin ,Single Plate Dry Type 380 mm ,TATA,No ,5883 cc,Yes ,24 V ,BS-IV ,Cummins ISBe 5.9 230 ,6,,NA ,NA ,NA ,No ,Heavy Duty Forged I Beam reverse Elliot Type ,Semi Elliptical Leaf Springs ,10R20 - 16 PR ,400 Ltr,,49000,9-Speed ,18.3,,NA ,No ,8280,NA ,NA ,,230 bhp  ,82.6,850 Nm  ,,SIGNA-4923S,Yes ,NA ,NA ,,,6603,2598,No ,40720 Kgs,Yes ,NA ,RA 109 Srt ,NA ,Inverted Bogie ,10R20 - 16 PR ,NA ,Yes ,Standard ,,NA ,NA ,Power Steering ,YES ,NA ,No ,No ,Manual ,No ,9250,NA ,NA ,3880 mm,NA 
54,No ,No ,Yes ,,Yes ,4x2 ,No ,,,No ,Full Body ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Bolted Chassis Construction ,Chassis with Cabin ,"Single Plate dry , 380 mm ",TATA,No ,5883 cc,Yes ,No ,BS-IV ,CUMMINS ISBe5.9 180 40 ,8,,No ,No ,No ,No ,"Heavy duty Forged ""I"" beam reverse Elliot type Axle ",Parabolic ,10.00 X 20 - 16 PR RIB ,300 Ltr,,31000,6-Speed ,23,240,NA ,No ,,No ,NA ,,177.1 bhp  ,,700Nm  ,,LPK-3118,No ,No ,No ,,3332,8903,2540,Yes ,,Yes ,No ,TATA RA- 109SRX ,No ,Semi elliptical Leaf springs suspension ,10.00 X 20 - 16 PR LUG ,No ,Yes ,Adjustable ,,No ,No ,Power Steering ,No ,No ,Yes ,Yes ,Manual ,Yes ,9800,No ,No ,5580 mm,NA 
55,No ,No ,Yes ,,No ,,,,,,Deck Body ,Disc Brake ,,,,,,,Day Cabin ,,,Chassis with Cabin ,Synchromesh ,FORCE,No ,1947 cc,Yes ,,BS-IV ,FM 2.0 CR CRDI ,3,,,,,No ,Dead rigid ,Semi Elliptical leaf springs with Hydraulic telescopic shock absorber and anti roll bar ,7.00 x 16 ,60 Ltr,,3370,5-Speed ,,235,536,No ,1870,,2750,,67 bhp  ,,175 Nm  ,,KARGO-KING,No ,,,4,2105,5360,1855,Yes ,1500 Kgs,Yes ,,Live Rigid ,,Semi elliptical two stage leaf springs with hydraulic telescopic shock absorbers ,7.00 x 16 ,,Yes ,Standard ,D+1 ,,,Optional ,No ,,No ,Yes ,Manual ,No ,3250,,,3250 mm,1710
56,No ,No ,No ,,No ,4x2 ,No ,,Hydraulic Brake ,No ,Deck Body ,Hydraulic Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,No ,Chassis with Cabin ,310 mm dia. ,EICHER,No ,3298 cc,Yes ,No ,BS-IV ,E483 4 Cyl CRS ,4,,No ,No ,No ,No ,. ,Semi-elliptical laminated leaves (with shock absorber) ,7.50 x 16 -16 PR ,60 Ltr,,8250,5-Speed ,31,210,1915(6.3) ,No ,2790,No ,3680(12) ,,110 HP  ,95,350Nm  ,,PRO-1080,No ,No ,No ,,,,,Yes ,5460 Kgs,Yes ,No ,. ,No ,Semi-elliptical laminated leaves (with shock absorber) ,7.50 x 16 -16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,No ,No ,Yes ,Yes ,Manual ,No ,6900,No ,No ,2815 mm,2007(6.6) 
57,,No ,,,,. ,NA ,,NA ,NA ,Box body ,Hydraulic Brakes ,NA ,NA ,NA ,NA ,,NA ,Day Cabin ,NA ,NA ,Chassis with Cabin ,240 mm dia ,MAHINDRA,,2500 cc,,,BS-IV ,2.5 Lit MDI ,,,NA ,NA ,NA ,No ,,,. ,,,4850,5-Speed ,26,,,No ,,NA ,3120(10.23) ,,70 bhp  ,80,200 Nm  ,,DI3200-JAYO,,NA ,NA ,4,,,,Yes ,,Yes ,NA ,,NA ,,. ,NA ,Yes ,Standard ,,NA ,NA ,Manual / Power Steering ,,NA ,No ,,Manual ,Yes ,11500,NA ,NA ,0 mm,1800(5.90) 
58,Optional ,Yes ,No ,,No ,NA ,"Single Speed Hypoid Gear, Fully Floating Axle Shafts ",,Electro-pneumatically Operated Coupled with Service Brake ,NA ,Box body ,Air Brakes ,NA ,NA ,NA ,NA ,,NA ,Day Cabin ,NA ,Ladder type Heavy Duty Frame ,Chassis with Cabin ,Single Platre Dry Type 380 mm ,TATA,No ,5883 cc,Yes ,24 V ,BS-IV ,Cummins ISBe 5.9 180 40 ,6,,NA ,NA ,NA ,No ,Extra Heavy Duty Forged I Beam Reverse elliot type ,Parabolic Leaf Springs ,10R20 - 16 PR ,400 Ltr,,40200,6-Speed ,18,,NA ,No ,5970,NA ,NA ,,180 BHP  ,80,700 Nm  ,,SIGNA-4018S,Yes ,NA ,NA ,,,5625,2565,No ,34230 Kgs,Yes ,NA ,RA 109 RR ,NA ,Semi Elliptical multi Leaf Springs ,10R20 - 16 PR ,NA ,Yes ,Standard ,,NA ,NA ,Power Steering ,YES ,NA ,No ,No ,Manual ,No ,6150,NA ,NA ,3200 mm,NA 
59,No ,No ,Yes ,,No ,,No ,,No ,No ,Customizable ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,330 mm dia ,EICHER,No ,0 cc,Yes ,12V - 100Ah ,BS-IV ,"E494,4V CRS engine with Volvo Group EMS 3.0 ",4,,No ,No ,No ,No ,,Semi-elliptical laminated leaves with helper leaf spring ,9.00R20 -16PR ,190 Ltr,,16020,7-Speed ,24,240,1890(6.2 ft) ,No ,,No ,6106(20 ft) ,,135 bhp  ,,490 Nm  ,,PRO-1114XP,No ,No ,No ,,,,,Yes ,,Yes ,No ,,No ,Semi-elliptical laminated leaves with helper leaf spring ,9.00R20 -16PR ,No ,Yes ,Standard ,,No ,,Power Steering ,No ,No ,,Yes ,Manual ,No ,,No ,No ,4255 mm,
60,No ,,Yes ,,No ,,,,,,Deck Body ,Disc/Drum brakes ,,,,,,,Day Cabin ,,Yes ,Chassis with Cabin ,Single Plate Dry Clutch ,MAHINDRA,No ,2523 cc,Yes ,,BS-VI ,m2DiCR 2.5L TB ,4,,,,,,,Rigid Leaf spring suspension ,215/75 R15 LT ,45 Ltr,Diesel ,2990,5-Speed ,,,398,,1590,,2640,,65 bhp ,,195 Nm  ,,BOLERO-CITY-PIKUP,No ,,,4,1858,4990,1700,Yes ,1400 Kgs,Yes ,,,,Rigid Leaf spring suspension ,215/75 R15 LT ,,Yes ,Standard ,D+1 ,,,Power Steering ,,,,No ,Manual ,No ,,,,3264 mm,1700
61,No ,No ,Yes ,,No ,,,,,,Box body ,Disc Brake ,,,,,,,Day Cabin ,,,Chassis with Cabin ,,MARUTI-SUZUKI,No ,1196 cc,Yes ,,BS-IV ,G12B Multi-Point Injection ,4,,,,,No ,,Mac Pherson Strut ,155 R 13 LT ,40 Ltr,,1540,5-Speed ,,,1070,No ,920,,1620,,72 bhp  ,80,101 Nm  ,,EECO-CARGO,No ,,,4,1800,3675,1475,Yes ,,No ,,,,3 Link Rigid ,155 R 13 LT ,,Yes ,Standard ,D+1 ,,,Manual Steering ,No ,,No ,Yes ,Manual ,Yes ,4500,,,2350 mm,1300
62,No ,No ,Yes ,,,,No ,,No ,No ,Box body ,Air Brakes ,No ,No ,No ,No ,No ,No ,Day Cabin ,No ,Yes ,,"Dry, single plate 352 mm Dia ",TATA,No ,5675 cc,No ,24V ,BS-IV ,Cri6-75 ,6,,No ,No ,No ,No ,"Reverse Elliot Type, I Beam ",Semi-elliptical Leaf spring ,10.00 x 20 - 16 PR ,150 Ltr,,16200,6-Speed ,26,239,,No ,,No ,,,134 bhp  ,,490 Nm  ,,SK-1613-HYMILER,No ,No ,No ,,,5370,,Yes ,,Yes ,No ,RA - 109 RX with RAR : 5.57 (39/7) ,No ,Semi-elliptical Leaf spring ,10.00 x 20 - 16 PR ,No ,Yes ,Standard ,,No ,No ,Power Steering ,,No ,No ,Yes ,Manual ,,6800,No ,No ,3225 mm,
63,,,Yes ,,,,,,,,,Hydraulic Brakes ,,,,,,,,,,,,MAHINDRA,,0 cc,,,BS-IV ,CRDe ,,,,,,,,,7.50 x 16 - 16 PR ,,,5950,,29,,,,2580,,4267(14) ,,69 bhp  ,,200Nm ,,LOADKING-OPTIMO-TIPPER,,,,6,,,,,3370 Kgs,Yes ,,,,,7.50 x 16 - 16 PR ,,,,,,,Power Steering ,,,,Yes ,,,7300,,,3320 mm,1798(5.9) 
64,No ,No ,Yes ,,No ,No ,,,,,Deck Body ,Disc Brakes ,,,,,,,Day Cabin ,,,Chassis with Cabin ,,PIAGGIO,No ,652 cc,Yes ,,BS-IV ,. ,1,,,,,No ,NA ,NA ,145/ 80 R12 LT 8PR ,15 Ltr,,1525,5-Speed ,21,,,No ,775,,1950,,15 bhp  ,62,40 Nm  ,26,PORTER-700,No ,,,,1735,3544,1460,Yes ,750 Kgs,Yes ,,NA ,,NA ,145/ 80 R12 LT 8PR ,,Yes ,Standard ,D+1 ,,,Power Steering ,No ,,No ,No ,Manual ,No ,,,,1820 mm,1400
65,No ,No ,Yes ,,No ,,No ,,No ,No ,Deck Body ,Air Brakes ,No ,No ,No ,No ,,No ,Day Cabin ,No ,Yes ,Chassis with Cabin ,310 mm dia ,EICHER,No ,0 cc,Yes ,12V - 70Ah ,BS-IV ,E483 CRS ,4,,No ,No ,No ,No ,,Semi-elliptical laminated leafs with shock absorber ,8.25 x 16 - 16PR ,190 Ltr,,9500,5-Speed ,25,210,,No ,,No ,5346(17.6 ft) ,,110 bhp  ,,350 Nm  ,,PRO-1095,No ,No ,No ,,,,,Yes ,,Yes ,No ,,No ,Semi-elliptical laminated leafs ,8.25 X 16 - 16PR ,No ,Yes ,Standard ,,No ,,Power Steering ,No ,No ,,Yes ,Manual ,No ,,No ,No ,4065 mm,2007(6.6 ft) 
